@ 86400 IN SOA fhudns postmaster 2015040601 10800 3600 604800 86400
@ 86400 IN MX 10 fhumail-bar
@ 86400 IN NS fhudns
pc51st2 86400 IN A 202.249.232.249
pc5213.ircad2 86400 IN A 202.249.232.163
fhuntp1 86400 IN A 202.249.232.251
pc5116.ircad2 86400 IN A 202.249.232.146
pc54t2.ircad3 86400 IN A 202.249.234.187
pc5211.ircad2 86400 IN A 202.249.232.161
pc52sv7.ircad2 86400 IN A 202.249.232.233
portal 86400 IN A 202.249.233.25
sv2605 86400 IN CNAME fhumisv.mi
pc2402 86400 IN A 202.249.232.34
opw 86400 IN A 202.249.233.120
pc13320 86400 IN A 202.249.233.218
sv2618 86400 IN A 202.249.232.86
pc13202 86400 IN A 202.249.233.202
pc5208.ircad2 86400 IN A 202.249.232.158
pc13209 86400 IN A 202.249.233.205
pc13211 86400 IN A 202.249.233.207
pc13212 86400 IN A 202.249.233.208
pc52sv5.ircad2 86400 IN A 202.249.232.231
pc13214 86400 IN A 202.249.233.210
pc13215 86400 IN A 202.249.233.211
mac51t1 86400 IN A 202.249.232.217
pc5206.ircad2 86400 IN A 202.249.232.156
gm5201-1 86400 IN A 202.249.232.241
gm5201-2 86400 IN A 202.249.232.242
pc54t1.ircad3 86400 IN A 202.249.234.186
campus 86400 IN A 202.249.233.20
pc2414 86400 IN A 202.249.232.44
pc5204.ircad2 86400 IN A 202.249.232.154
pc52sv1.ircad2 86400 IN A 202.249.232.226
pc5117.ircad2 86400 IN A 202.249.232.147
mail.irc 86400 IN CNAME pc52sv6.irc
pc13301 86400 IN A 202.249.233.204
pr5403.ircad3 86400 IN A 202.249.234.198
pc13303 86400 IN A 202.249.233.203
wlan2101 86400 IN A 202.249.232.104
pc13314 86400 IN A 202.249.233.212
pc13315 86400 IN A 202.249.233.213
pc5202.ircad2 86400 IN A 202.249.232.152
pc13317 86400 IN A 202.249.233.215
pc13318 86400 IN A 202.249.233.216
pc13319 86400 IN A 202.249.233.217
pc5115.ircad2 86400 IN A 202.249.232.145
pr5401.ircad3 86400 IN A 202.249.234.196
