@ 86400 IN SOA dns.ictp.it. hostmaster.ictp.it. 2015062787 28800 7200 604800 86400
@ 86400 IN AFSDB 1 fs1
86400 IN AFSDB 1 fs2
@ 86400 IN MX 40 smtp.ictp.it.
86400 IN MX 40 smtp
86400 IN MX 50 smtp1
86400 IN MX 50 smtp2
@ 86400 IN NS dns.ictp.it.
86400 IN NS ns1.units.it.
86400 IN NS sv2.ictp.it.
mac-zaccaria 86400 IN A 140.105.35.55
hp83-cm-5 86400 IN A 140.105.27.204
hp83-cm-6 86400 IN A 140.105.27.241
hp83-cm-7 86400 IN A 140.105.27.242
hp83-cm-8 86400 IN A 140.105.27.201
hp83-cm-9 86400 IN A 140.105.27.232
sp-test 86400 IN CNAME webmail
mac-gebauer 86400 IN A 140.105.27.143
hp83-lblab-20 86400 IN A 140.105.25.30
proxy2-e 86400 IN A 140.105.47.82
pec 86400 IN MX 0 mail.telecompost.it.
mac-dabholkar 86400 IN A 140.105.29.22
mac-peraz 86400 IN A 140.105.35.21
sv4 86400 IN CNAME proxy-b
nb-onime 86400 IN A 140.105.26.78
tproxy 86400 IN A 140.105.47.81
vpn-placeh6 86400 IN A 140.105.38.133
mac-passarella 86400 IN A 140.105.35.37
ibmportal 86400 IN CNAME webmail
nb-zorzi 86400 IN A 140.105.26.81
pio 86400 IN CNAME webmail
osm 86400 IN A 140.105.47.26
mac-bulzani 86400 IN A 140.105.22.36
mac-zerial 86400 IN A 140.105.22.5
proxy3-e 86400 IN A 140.105.47.84
hp83-geophys-1 86400 IN A 140.105.23.191
hp83-geophys-2 86400 IN A 140.105.23.192
hp83-geophys-3 86400 IN A 140.105.23.193
hp83-geophys-4 86400 IN A 140.105.23.194
hp83-geophys-5 86400 IN A 140.105.23.195
pop 86400 IN CNAME imap
vpnlib8 86400 IN A 140.105.40.143
wl-23 86400 IN A 140.105.25.87
www-scs 86400 IN CNAME zope-scs
mini-jack-room7 86400 IN A 140.105.26.99
vpn-consorzio-3 86400 IN A 140.105.17.114
vpn-consorzio-4 86400 IN A 140.105.17.115
hp6-dip-27 86400 IN A 140.105.39.157
mac-festa 86400 IN A 140.105.22.14
imap 86400 IN A 140.105.16.53
vpn-placeh7 86400 IN A 140.105.38.134
hp6-clima-10 86400 IN A 140.105.29.203
hp6-clima-11 86400 IN A 140.105.29.204
