@ 7200 IN SOA ns1 sysadmin 2015042900 3600 1800 604800 7200
@ 7200 IN NS ns1
7200 IN NS ns2
7200 IN NS ns3
7200 IN NS dns-ext1.dartmouth.edu.
@ 7200 IN TXT "MS=5E354484999182623AA1D571BBB9AA1365849A89"
@ 7200 IN MX 1 ASPMX.L.GOOGLE.COM.
7200 IN MX 5 ALT1.ASPMX.L.GOOGLE.COM.
7200 IN MX 5 ALT2.ASPMX.L.GOOGLE.COM.
7200 IN MX 10 ASPMX2.GOOGLEMAIL.COM.
7200 IN MX 10 ASPMX3.GOOGLEMAIL.COM.
urness-141-224-233-39 7200 IN A 141.224.233.39
urness-141-224-233-41 7200 IN A 141.224.233.41
urness-141-224-233-42 7200 IN A 141.224.233.42
urness-141-224-232-207 7200 IN A 141.224.232.207
urness-141-224-233-44 7200 IN A 141.224.233.44
aug-student-141-224-197-142 7200 IN A 141.224.197.142
urness-141-224-233-46 7200 IN A 141.224.233.46
anderson-141-224-226-110 7200 IN A 141.224.226.110
urness-141-224-233-48 7200 IN A 141.224.233.48
urness-141-224-232-208 7200 IN A 141.224.232.208
urness-141-224-233-51 7200 IN A 141.224.233.51
aug-student-141-224-197-143 7200 IN A 141.224.197.143
urness-141-224-233-53 7200 IN A 141.224.233.53
urness-141-224-233-54 7200 IN A 141.224.233.54
urness-141-224-233-55 7200 IN A 141.224.233.55
aug-facstaff-141-224-223-70 7200 IN A 141.224.223.70
urness-141-224-233-57 7200 IN A 141.224.233.57
aug-student-141-224-197-144 7200 IN A 141.224.197.144
urness-141-224-233-59 7200 IN A 141.224.233.59
urness-141-224-233-61 7200 IN A 141.224.233.61
urness-141-224-233-62 7200 IN A 141.224.233.62
urness-141-224-233-63 7200 IN A 141.224.233.63
anderson-141-224-226-210 7200 IN A 141.224.226.210
aug-student-141-224-197-145 7200 IN A 141.224.197.145
urness-141-224-233-66 7200 IN A 141.224.233.66
urness-141-224-233-67 7200 IN A 141.224.233.67
urness-141-224-233-68 7200 IN A 141.224.233.68
urness-141-224-233-69 7200 IN A 141.224.233.69
urness-141-224-233-71 7200 IN A 141.224.233.71
aug-student-141-224-192-187 7200 IN A 141.224.192.187
urness-141-224-233-73 7200 IN A 141.224.233.73
urness-141-224-233-74 7200 IN A 141.224.233.74
urness-141-224-233-75 7200 IN A 141.224.233.75
urness-141-224-232-213 7200 IN A 141.224.232.213
urness-141-224-233-77 7200 IN A 141.224.233.77
aug-student-141-224-192-188 7200 IN A 141.224.192.188
urness-141-224-233-79 7200 IN A 141.224.233.79
urness-141-224-233-81 7200 IN A 141.224.233.81
urness-141-224-233-82 7200 IN A 141.224.233.82
aug-student-141-224-207-140 7200 IN A 141.224.207.140
urness-141-224-233-84 7200 IN A 141.224.233.84
aug-student-141-224-192-189 7200 IN A 141.224.192.189
urness-141-224-233-86 7200 IN A 141.224.233.86
urness-141-224-233-87 7200 IN A 141.224.233.87
urness-141-224-233-88 7200 IN A 141.224.233.88
urness-141-224-233-89 7200 IN A 141.224.233.89
urness-141-224-233-91 7200 IN A 141.224.233.91
aug-student-141-224-192-191 7200 IN A 141.224.192.191
urness-141-224-233-93 7200 IN A 141.224.233.93
urness-141-224-233-94 7200 IN A 141.224.233.94
urness-141-224-233-95 7200 IN A 141.224.233.95
urness-141-224-233-96 7200 IN A 141.224.233.96
urness-141-224-233-97 7200 IN A 141.224.233.97
aug-student-141-224-192-192 7200 IN A 141.224.192.192
urness-141-224-233-99 7200 IN A 141.224.233.99
luther-141-224-228-210 7200 IN A 141.224.228.210
aug-student-141-224-197-152 7200 IN A 141.224.197.152
anderson-141-224-226-120 7200 IN A 141.224.226.120
aug-student-141-224-197-153 7200 IN A 141.224.197.153
*.internal 7200 IN CNAME tomte
aug-student-141-224-197-154 7200 IN A 141.224.197.154
aug-student-141-224-192-196 7200 IN A 141.224.192.196
aug-student-141-224-192-207 7200 IN A 141.224.192.207
aug-student-141-224-192-198 7200 IN A 141.224.192.198
aug-student-141-224-192-199 7200 IN A 141.224.192.199
oren-141-224-240-35 7200 IN A 141.224.240.35
luther-141-224-231-16 7200 IN A 141.224.231.16
aug-student-141-224-192-211 7200 IN A 141.224.192.211
aug-facstaff-141-224-223-73 7200 IN A 141.224.223.73
aug-student-141-224-197-161 7200 IN A 141.224.197.161
aug-student-141-224-192-213 7200 IN A 141.224.192.213
anderson-141-224-226-130 7200 IN A 141.224.226.130
aug-student-141-224-192-214 7200 IN A 141.224.192.214
urness-141-224-232-230 7200 IN A 141.224.232.230
aug-student-141-224-197-164 7200 IN A 141.224.197.164
aug-student-141-224-192-216 7200 IN A 141.224.192.216
aug-student-141-224-204-143 7200 IN A 141.224.204.143
aug-student-141-224-192-217 7200 IN A 141.224.192.217
urness-141-224-232-233 7200 IN A 141.224.232.233
aug-student-141-224-192-218 7200 IN A 141.224.192.218
aug-student-141-224-192-219 7200 IN A 141.224.192.219
aug-student-141-224-192-221 7200 IN A 141.224.192.221
aug-student-141-224-192-222 7200 IN A 141.224.192.222
aug-student-141-224-192-223 7200 IN A 141.224.192.223
