@ 8800 IN SOA ns01.minatec.inpg.fr. postmaster.minatec.inpg.fr. 2013121601 21600 3600 864000 8800
@ 8800 IN MX 5 smtp131.minatec.grenoble-inp.fr.
8800 IN MX 5 smtp132.minatec.grenoble-inp.fr.
nfs3176 8800 IN A 192.93.176.150
nfs3178 8800 IN A 192.93.178.11
nfs3179 8800 IN A 192.93.179.134
apollon 8800 IN A 192.93.179.241
platon 8800 IN A 192.93.177.104
tsigb3 8800 IN A 192.93.179.8
tsigb4 8800 IN A 192.93.179.9
tsigc1 8800 IN A 192.93.179.10
tsigc2 8800 IN A 192.93.179.11
ntp 8800 IN CNAME enserg
pdc 8800 IN A 192.93.178.8
azur 8800 IN A 192.93.175.13
segcmc187 8800 IN A 192.93.175.187
pfe 8800 IN CNAME www01.minatec.inpg.fr.
heidegger 8800 IN A 192.93.179.68
segcmc191 8800 IN A 192.93.175.191
caract11 8800 IN A 192.93.177.179
segamc59 8800 IN A 192.93.175.59
cypres 8800 IN A 192.93.178.168
lpcolor 8800 IN A 192.93.177.140
celte 8800 IN A 192.93.179.69
seth 8800 IN A 192.93.179.165
parano 8800 IN A 192.93.176.78
thot 8800 IN A 192.93.179.166
zeus 8800 IN A 192.93.179.245
imp117N 8800 IN A 192.93.176.188
herodote 8800 IN A 192.93.177.75
ciscoairportc1 8800 IN A 192.93.176.162
ciscoairportc2 8800 IN A 192.93.176.163
enserg 8800 IN A 192.93.178.1
oldpop 8800 IN A 192.93.178.1
lpsud 8800 IN A 192.93.177.103
pop 8800 IN CNAME pop.minatec.grenoble-inp.fr.
sophocle 8800 IN A 192.93.177.110
lpcompt 8800 IN A 192.93.177.41
hypnos 8800 IN A 192.93.179.246
eschyle 8800 IN A 192.93.177.109
ensergxxtmp 8800 IN A 192.93.176.77
hortensia 8800 IN A 192.93.178.196
